time,all_num_维科技术,all_dic_score,维科技术舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,1,-1.00,-1.00,0,0.00,1,-1.00
2021-01-02,1,1.00,1.00,1,1.00,0,0.00
2021-01-03,1,1.00,1.00,1,1.00,0,0.00
2021-01-04,6,-2.00,0.00,2,2.00,4,-4.00
2021-01-05,11,7.00,0.81,9,9.00,2,-2.00
2021-01-06,12,6.00,0.75,9,9.00,3,-3.00
2021-01-07,42,18.00,0.59,30,30.00,12,-12.00
2021-01-08,97,29.00,0.44,63,63.00,34,-34.00
2021-01-09,11,1.00,0.14,6,6.00,5,-5.00
2021-01-10,7,7.00,1.00,7,7.00,0,0.00
2021-01-11,65,17.00,0.32,41,41.00,24,-24.00
2021-01-12,16,2.00,0.37,9,9.00,7,-7.00
2021-01-13,37,13.00,0.68,25,25.00,12,-12.00
2021-01-14,14,8.00,0.61,11,11.00,3,-3.00
2021-01-15,11,1.00,0.07,6,6.00,5,-5.00
2021-01-16,5,5.00,1.00,5,5.00,0,0.00
2021-01-17,5,5.00,1.00,5,5.00,0,0.00
2021-01-18,14,8.00,0.72,11,11.00,3,-3.00
2021-01-19,7,1.00,0.43,4,4.00,3,-3.00
2021-01-20,10,6.00,0.64,8,8.00,2,-2.00
2021-01-21,9,1.00,0.27,5,5.00,4,-4.00
2021-01-22,14,12.00,0.90,13,13.00,1,-1.00
2021-01-23,3,-1.00,-0.53,1,1.00,2,-2.00
2021-01-24,4,4.00,1.00,4,4.00,0,0.00
2021-01-25,16,-2.00,-0.01,7,7.00,9,-9.00
2021-01-26,15,13.00,0.93,14,14.00,1,-1.00
2021-01-27,14,10.00,0.87,12,12.00,2,-2.00
2021-01-28,8,4.00,0.70,6,6.00,2,-2.00
2021-01-29,15,-1.00,0.06,7,7.00,8,-8.00
2021-01-31,1,1.00,1.00,1,1.00,0,0.00
2021-02-01,12,10.00,0.93,11,11.00,1,-1.00
2021-02-02,15,1.00,0.38,8,8.00,7,-7.00
2021-02-03,4,0.00,0.42,2,2.00,2,-2.00
2021-02-04,6,4.00,0.83,5,5.00,1,-1.00
2021-02-05,6,4.00,0.82,5,5.00,1,-1.00
2021-02-06,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-07,1,1.00,1.00,1,1.00,0,0.00
2021-02-08,6,2.00,0.56,4,4.00,2,-2.00
2021-02-09,4,2.00,0.53,3,3.00,1,-1.00
2021-02-10,2,0.00,-0.00,1,1.00,1,-1.00
2021-02-12,3,3.00,1.00,3,3.00,0,0.00
2021-02-16,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-17,4,0.00,0.06,2,2.00,2,-2.00
2021-02-18,7,5.00,0.63,6,6.00,1,-1.00
2021-02-20,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-21,1,1.00,1.00,1,1.00,0,0.00
2021-02-23,5,5.00,1.00,5,5.00,0,0.00
2021-02-24,7,3.00,0.87,5,5.00,2,-2.00
2021-02-25,1,1.00,1.00,1,1.00,0,0.00
2021-02-26,9,1.00,0.49,5,5.00,4,-4.00
2021-02-27,2,2.00,1.00,2,2.00,0,0.00
2021-03-01,6,0.00,-0.01,3,3.00,3,-3.00
2021-03-02,6,0.00,0.02,3,3.00,3,-3.00
2021-03-03,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-04,6,2.00,0.40,4,4.00,2,-2.00
2021-03-06,1,1.00,1.00,1,1.00,0,0.00
2021-03-08,6,4.00,0.83,5,5.00,1,-1.00
2021-03-09,3,-1.00,-0.45,1,1.00,2,-2.00
2021-03-10,3,3.00,1.00,3,3.00,0,0.00
2021-03-11,7,5.00,0.83,6,6.00,1,-1.00
2021-03-12,3,-1.00,-0.29,1,1.00,2,-2.00
2021-03-15,7,3.00,0.55,5,5.00,2,-2.00
2021-03-16,5,5.00,1.00,5,5.00,0,0.00
2021-03-17,2,2.00,1.00,2,2.00,0,0.00
2021-03-18,3,1.00,0.35,2,2.00,1,-1.00
2021-03-19,1,1.00,1.00,1,1.00,0,0.00
2021-03-20,1,1.00,1.00,1,1.00,0,0.00
2021-03-22,11,7.00,-0.00,9,9.00,2,-2.00
2021-03-23,12,4.00,0.03,8,8.00,4,-4.00
2021-03-24,26,14.00,0.58,20,20.00,6,-6.00
2021-03-25,3,3.00,1.00,3,3.00,0,0.00
2021-03-26,1,1.00,1.00,1,1.00,0,0.00
2021-03-29,6,4.00,0.81,5,5.00,1,-1.00
2021-03-30,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-31,1,1.00,1.00,1,1.00,0,0.00
2021-04-01,2,2.00,1.00,2,2.00,0,0.00
2021-04-02,4,4.00,1.00,4,4.00,0,0.00
2021-04-05,1,1.00,1.00,1,1.00,0,0.00
2021-04-06,1,1.00,1.00,1,1.00,0,0.00
2021-04-07,1,1.00,1.00,1,1.00,0,0.00
2021-04-08,3,3.00,1.00,3,3.00,0,0.00
2021-04-09,2,0.00,0.03,1,1.00,1,-1.00
2021-04-12,39,33.00,0.88,36,36.00,3,-3.00
2021-04-13,10,6.00,0.83,8,8.00,2,-2.00
2021-04-14,5,5.00,1.00,5,5.00,0,0.00
2021-04-15,5,-1.00,-0.29,2,2.00,3,-3.00
2021-04-16,7,3.00,0.48,5,5.00,2,-2.00
2021-04-17,3,1.00,0.27,2,2.00,1,-1.00
2021-04-18,2,2.00,1.00,2,2.00,0,0.00
2021-04-19,10,4.00,0.26,7,7.00,3,-3.00
2021-04-20,5,3.00,0.38,4,4.00,1,-1.00
2021-04-21,10,10.00,1.00,10,10.00,0,0.00
2021-04-22,18,2.00,0.33,10,10.00,8,-8.00
2021-04-23,42,16.00,0.52,29,29.00,13,-13.00
2021-04-24,4,2.00,0.45,3,3.00,1,-1.00
2021-04-25,10,4.00,0.54,7,7.00,3,-3.00
2021-04-26,99,71.00,0.25,85,85.00,14,-14.00
2021-04-27,87,39.00,0.57,63,63.00,24,-24.00
2021-04-28,46,16.00,0.40,31,31.00,15,-15.00
2021-04-29,29,11.00,0.22,20,20.00,9,-9.00
2021-04-30,18,8.00,0.26,13,13.00,5,-5.00
2021-05-02,1,1.00,1.00,1,1.00,0,0.00
2021-05-03,2,0.00,0.08,1,1.00,1,-1.00
2021-05-04,1,-1.00,-1.00,0,0.00,1,-1.00
2021-05-05,5,3.00,0.58,4,4.00,1,-1.00
2021-05-06,22,10.00,0.52,16,16.00,6,-6.00
2021-05-07,14,0.00,-0.03,7,7.00,7,-7.00
2021-05-08,3,3.00,1.00,3,3.00,0,0.00
2021-05-09,2,2.00,1.00,2,2.00,0,0.00
2021-05-10,9,7.00,0.80,8,8.00,1,-1.00
2021-05-11,10,2.00,0.34,6,6.00,4,-4.00
2021-05-12,31,23.00,0.76,27,27.00,4,-4.00
2021-05-13,117,47.00,0.54,82,82.00,35,-35.00
2021-05-14,81,23.00,0.43,52,52.00,29,-29.00
2021-05-15,18,8.00,0.30,13,13.00,5,-5.00
2021-05-16,10,0.00,0.20,5,5.00,5,-5.00
2021-05-17,51,21.00,0.53,36,36.00,15,-15.00
2021-05-18,60,30.00,0.49,45,45.00,15,-15.00
2021-05-19,59,33.00,0.69,46,46.00,13,-13.00
2021-05-20,39,27.00,0.38,33,33.00,6,-6.00
2021-05-21,74,38.00,0.54,56,56.00,18,-18.00
2021-05-22,10,6.00,0.64,8,8.00,2,-2.00
2021-05-23,12,6.00,0.58,9,9.00,3,-3.00
